URN,UKPRN,TypeOfEstablishment (name)
100543,10077629,Other independent school
100544,10015688,Other independent school
100545,10077628,Other independent school
100546,,Other independent school
100547,10016670,Other independent school
100548,10016520,Foundation special school
100549,10015504,Community special school
100550,,Local authority nursery school
100551,,Local authority nursery school
100552,,Local authority nursery school
100553,,Local authority nursery school
100554,,Local authority nursery school
100555,,Pupil referral unit
100556,10074664,Community school
100557,,Community school
100558,,Community school
100559,,Community school
100560,10074663,Community school
100561,,Community school
100562,,Community school
100563,,Community school
100564,10074662,Community school
100565,,Community school
100566,10074661,Community school
100567,10074660,Community school
100568,,Community school
100569,,Community school
100570,,Community school
100571,,Community school
100572,10070043,Community school
100573,,Community school
100574,10074659,Community school
100575,,Community school
100576,10072924,Community school
100577,10074658,Community school
100578,10072923,Community school
100579,,Community school
100580,,Community school
100581,,Community school
100582,10070042,Community school
100583,,Community school
100584,10074657,Community school
100585,10075867,Community school
100586,10074656,Community school
100587,,Community school
100588,10074655,Foundation school
100589,10074654,Community school
100590,10068731,Community school
100591,10073713,Foundation school
100592,,Community school
100593,10072922,Community school
100594,,Community school
100595,10074653,Community school
100596,,Community school
100597,10074652,Community school
100598,10074651,Community school
100599,,Community school
100600,,Community school
100601,10074650,Community school
100602,10069599,Foundation school
100603,,Community school
100604,10074649,Community school
100605,,Community school
100606,,Community school
100607,,Community school
100608,10074648,Community school
100609,10069855,Voluntary aided school
100610,10079294,Voluntary aided school
100611,,Voluntary aided school
100612,10074031,Voluntary aided school
100613,10074731,Voluntary aided school
100614,10074030,Voluntary aided school
100615,10069854,Voluntary aided school
100616,10074730,Voluntary aided school
100617,,Voluntary aided school
100618,,Voluntary aided school
100619,10074027,Voluntary aided school
100620,10076250,Voluntary aided school
100621,10074029,Voluntary aided school
100622,10074729,Voluntary aided school
100623,10075983,Voluntary aided school
100624,10004778,Community school
100625,10003923,Community school
100626,10006344,Foundation school
100627,10001323,Voluntary aided school
100628,10075982,Voluntary aided school
100629,10075981,Voluntary aided school
100630,,Voluntary aided school
100631,10079613,Voluntary aided school
100632,10075980,Voluntary aided school
100633,10074028,Voluntary aided school
100634,10073712,Foundation school
100635,,Foundation school
100636,10075979,Voluntary aided school
100637,10003732,Voluntary aided school
100638,10014777,Voluntary aided school
100639,10002060,Foundation school
100640,10000345,Voluntary aided school
100641,10006217,Voluntary aided school
100642,10004050,Foundation school
100643,10015994,Foundation special school
100644,10079904,Other independent school
100645,10077627,Other independent school
100646,,Other independent school
100647,,Other independent school
100648,10017772,Other independent school
100649,10015040,Other independent school
100650,,Other independent school
100651,10077626,Other independent school
100652,,Other independent school
100653,,Other independent school
100654,10016162,Community special school
100655,,Community special school
100656,,Community special school
100657,,Community special school
100658,,Community special school
100659,10015635,Community special school
100660,,Foundation special school
100661,,Foundation special school
100662,,Community special school
100663,,Community special school
100664,,Community special school
100665,,Community special school
100666,,Community special school
100667,10095645,Local authority nursery school
100668,,Local authority nursery school
100669,,Pupil referral unit
100670,,Pupil referral unit
100671,10072921,Community school
100672,10074647,Community school
100673,10074646,Community school
100674,10074645,Community school
100675,,Community school
100676,10072920,Community school
100677,10074644,Community school
100678,10072919,Community school
100679,10074643,Community school
100680,10074642,Community school
100681,10070041,Community school
100682,,Community school
100683,10074641,Community school
100684,10074640,Community school
100685,10074639,Community school
100686,10052987,Community school
100687,10074638,Community school
100688,10074637,Community school
100689,10074636,Community school
100690,10072918,Community school
100691,10074635,Community school
100692,10074634,Community school
100693,10074633,Community school
100694,,Community school
100695,10074632,Community school
100696,10074631,Community school
100697,,Community school
100698,,Community school
100699,10074630,Community school
100700,10074629,Community school
100701,10072917,Community school
100702,,Community school
100703,10074628,Community school
100704,10075069,Community school
100705,10066706,Community school
100706,,Community school
100707,,Community school
100708,10071958,Community school
100709,10074627,Community school
100710,10079729,Community school
100711,10074626,Community school
100712,10070040,Community school
100713,10074625,Community school
100714,10070039,Community school
100715,10074624,Community school
100716,10074623,Community school
100717,10079728,Community school
100718,10069168,Community school
100719,10074728,Voluntary aided school
100720,10075978,Voluntary aided school
100721,,Voluntary aided school
100722,10075977,Voluntary aided school
100723,10074727,Voluntary aided school
100724,10074026,Voluntary aided school
100725,10075976,Voluntary aided school
100726,10069853,Voluntary aided school
100727,10074726,Voluntary aided school
100728,10074725,Voluntary aided school
100729,10075975,Voluntary aided school
100730,10074025,Voluntary aided school
100731,10074724,Voluntary aided school
100732,10075974,Voluntary aided school
100733,10075973,Voluntary aided school
100734,10074024,Voluntary aided school
100735,,Voluntary aided school
100736,,Voluntary aided school
100737,10075972,Voluntary aided school
100738,,Voluntary aided school
100739,10071710,Voluntary aided school
100740,10001917,Community school
100741,10006468,Community school
100742,10015211,Community school
100743,10005733,Community school
100744,,Community school
100745,10002536,Community school
100746,,Community school
100747,10001765,Foundation school
100748,10000136,Voluntary aided school
100749,10016684,Voluntary aided school
100750,10005193,Voluntary aided school
100751,10017025,Voluntary aided school
100752,10014886,Voluntary aided school
100753,,Foundation school
100754,10017245,Other independent school
100755,,Other independent school
100756,10008109,Other independent school
100757,10008540,Other independent school
100758,,Other independent school
100759,,City technology college
100760,10015159,Foundation special school
100761,,Community special school
100762,10017132,Community special school
100763,10022970,Community special school
100764,,Community special school
100765,10015625,Community special school
100766,10077050,Foundation special school
100767,,Local authority nursery school
100768,,Local authority nursery school
100769,,Local authority nursery school
100770,,Local authority nursery school
100771,,Local authority nursery school
100772,10017231,Pupil referral unit
100773,10017058,Pupil referral unit
100774,10074622,Community school
100775,10074621,Community school
100776,,Community school
100777,,Community school
100778,,Community school
100779,,Community school
100780,10072916,Community school
100781,10073066,Foundation school
100782,10074620,Community school
100783,10074619,Community school
100784,10079727,Community school
100785,10074618,Community school
100786,10074617,Community school
100787,,Community school
100788,,Community school
100789,,Community school
100790,10074616,Community school
100791,10074615,Community school
100792,,Community school
100793,10074614,Community school
100794,10079726,Community school
100795,10074613,Community school
100796,10074612,Community school
100797,,Community school
100798,10072915,Community school
100799,,Community school
100800,10074611,Community school
100801,10079725,Community school
100802,10074610,Community school
100803,10074609,Community school
100804,,Community school
100805,,Community school
100806,,Community school
100807,,Community school
100808,10074608,Community school
100809,10074607,Community school
100810,10074606,Community school
100811,10072914,Community school
100812,10074605,Community school
100813,10074604,Community school
100814,10074603,Community school
100815,10074602,Community school
100816,10057393,Foundation school
100817,10074601,Community school
100818,10074600,Community school
100819,10072913,Community school
100820,,Community school
100821,10074599,Community school
100822,10076249,Voluntary aided school
